Version,GFLOPS,L1Reuse,L2Reuse,L3Reuse,L4Reuse,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize,TotalDataSetSize,PessiL1DataSetSize,PessiL2DataSetSize,PessiL3DataSetSize,PessiMemDataSetSize,PessiTotalDataSetSize
0_28_28_16_64,1756.4,8,3,0,3,126240,1654800,0,5799936,7580976,17144,851456,819208,3727360,5415168
0_28_28_16_256,1782.5,8,3,0,3,126240,1654800,0,5799936,7580976,17144,851456,819208,3727360,5415168
0_28_28_64_1,1657.5,8,4,0,2,126240,2473992,0,4882440,7482672,17144,851456,819200,3260416,4948216
0_28_28_64_4,1774.4,8,3,0,3,126240,1654800,0,5799936,7580976,17144,851456,819208,3727360,5415168
0_28_28_64_16,1792.2,8,3,0,3,126240,1654800,0,5799936,7580976,17144,851456,819208,3727360,5415168
0_28_28_64_64,1762.7,8,3,0,3,126240,1654800,0,5799936,7580976,17144,851456,819208,3727360,5415168
0_28_28_64_256,1759.4,8,3,0,3,126240,1654800,0,5799936,7580976,17144,851456,819208,3727360,5415168
2,1632.5,5,2,0,3,34592,89608,0,6475784,6599984,17144,89608,0,4853760,4960512
3,1757.8,5,4,0,1,34592,333328,0,4007936,4375856,17144,288264,0,4007936,4313344
4,1647.8,5,2,0,3,34592,89608,0,6475784,6599984,17144,89608,0,4853760,4960512
5,1771.4,5,4,0,1,34592,333328,0,4007936,4375856,17144,288264,0,4007936,4313344
1_7_7_1_1,1577.4,11,4,0,1,59256,2130960,0,3874816,6065032,27640,993792,1007624,3874816,5903872
1_7_7_1_4,1788.3,11,4,1,2,52856,492048,1421312,4882440,6848656,23288,446984,1421312,3260416,5152000
1_7_7_1_16,1819.6,9,6,0,1,17456,1472856,0,3577856,5068168,14208,693824,567304,3577856,4853192
1_7_7_1_64,1822.9,9,6,0,1,17456,1472856,0,3577856,5068168,14208,693824,567304,3577856,4853192
1_7_7_1_256,1815.2,9,6,0,1,17456,1472856,0,3577856,5068168,14208,693824,567304,3577856,4853192
1_7_7_4_1,1599.5,11,4,0,1,59256,2130960,0,3874816,6065032,27640,993792,1007624,3874816,5903872
1_7_7_4_4,1798.7,11,4,1,2,52856,492048,1421312,4882440,6848656,23288,446984,1421312,3260416,5152000
1_7_7_4_16,1843.1,9,6,0,1,17456,1472856,0,3577856,5068168,14208,693824,567304,3577856,4853192
1_7_7_4_64,1843,9,6,0,1,17456,1472856,0,3577856,5068168,14208,693824,567304,3577856,4853192
1_7_7_4_256,1861.2,9,6,0,1,17456,1472856,0,3577856,5068168,14208,693824,567304,3577856,4853192
1_7_7_16_1,1637,11,4,0,1,59256,2130960,0,3874816,6065032,27640,993792,1007624,3874816,5903872
1_7_7_16_4,1844.8,11,4,1,2,52856,492048,1421312,4882440,6848656,23288,446984,1421312,3260416,5152000
1_7_7_16_16,1851,9,6,0,1,17456,1472856,0,3577856,5068168,14208,693824,567304,3577856,4853192
1_7_7_16_64,1846,9,6,0,1,17456,1472856,0,3577856,5068168,14208,693824,567304,3577856,4853192
1_7_7_16_256,1795.7,9,6,0,1,17456,1472856,0,3577856,5068168,14208,693824,567304,3577856,4853192
1_7_7_64_1,1604.7,11,4,0,1,59256,2130960,0,3874816,6065032,27640,993792,1007624,3874816,5903872
1_7_7_64_4,1808.8,11,4,1,2,52856,492048,1421312,4882440,6848656,23288,446984,1421312,3260416,5152000
1_7_7_64_16,1815.9,9,6,0,1,17456,1472856,0,3577856,5068168,14208,693824,567304,3577856,4853192
1_7_7_64_64,1783.4,9,6,0,1,17456,1472856,0,3577856,5068168,14208,693824,567304,3577856,4853192
1_7_7_64_256,1816.5,9,6,0,1,17456,1472856,0,3577856,5068168,14208,693824,567304,3577856,4853192
1_7_28_1_1,1607.2,11,4,0,1,59256,2507272,0,3874816,6441344,27640,993792,1007624,3874816,5903872
1_7_28_1_4,1836.2,11,5,0,2,52856,2515464,0,4882440,7450760,23288,832000,819200,3260416,4934904
1_7_28_1_16,1841.3,9,4,0,3,17456,409936,0,6146048,6573440,14208,335432,0,4073472,4423112
1_7_28_1_64,1835.7,9,4,0,3,17456,409936,0,6146048,6573440,14208,335432,0,4073472,4423112
1_7_28_1_256,1851,9,4,0,3,17456,409936,0,6146048,6573440,14208,335432,0,4073472,4423112
1_7_28_4_1,1622,11,4,0,1,59256,2507272,0,3874816,6441344,27640,993792,1007624,3874816,5903872
1_7_28_4_4,1845.9,11,5,0,2,52856,2515464,0,4882440,7450760,23288,832000,819200,3260416,4934904
1_7_28_4_16,1840.2,9,4,0,3,17456,409936,0,6146048,6573440,14208,335432,0,4073472,4423112
1_7_28_4_64,1846.7,9,4,0,3,17456,409936,0,6146048,6573440,14208,335432,0,4073472,4423112
1_7_28_4_256,1804.8,9,4,0,3,17456,409936,0,6146048,6573440,14208,335432,0,4073472,4423112
1_7_28_16_1,1567.3,11,4,0,1,59256,2507272,0,3874816,6441344,27640,993792,1007624,3874816,5903872
1_7_28_16_4,1823.3,11,5,0,2,52856,2515464,0,4882440,7450760,23288,832000,819200,3260416,4934904
1_7_28_16_16,1823.2,9,4,0,3,17456,409936,0,6146048,6573440,14208,335432,0,4073472,4423112
1_7_28_16_64,1802.5,9,4,0,3,17456,409936,0,6146048,6573440,14208,335432,0,4073472,4423112
1_7_28_16_256,1801.9,9,4,0,3,17456,409936,0,6146048,6573440,14208,335432,0,4073472,4423112
1_7_28_64_1,1585.3,11,4,0,1,59256,2507272,0,3874816,6441344,27640,993792,1007624,3874816,5903872
1_7_28_64_4,1847.7,11,5,0,2,52856,2515464,0,4882440,7450760,23288,832000,819200,3260416,4934904
1_7_28_64_16,1845.2,9,4,0,3,17456,409936,0,6146048,6573440,14208,335432,0,4073472,4423112
1_7_28_64_64,1838.7,9,4,0,3,17456,409936,0,6146048,6573440,14208,335432,0,4073472,4423112
1_7_28_64_256,1840.9,9,4,0,3,17456,409936,0,6146048,6573440,14208,335432,0,4073472,4423112
1_28_7_1_1,1646.7,11,4,0,1,70000,2130960,0,3874816,6075776,28984,993792,1007624,3874816,5905216
1_28_7_1_4,1781,12,3,1,2,121200,450576,1421312,4882440,6875528,28992,461064,1421312,3260416,5171784
1_28_7_1_16,1784.3,9,6,0,1,34928,1498384,0,3577856,5111168,28992,692480,567304,3577856,4866632
1_28_7_1_64,1795.1,9,6,0,1,34928,1498384,0,3577856,5111168,28992,692480,567304,3577856,4866632
1_28_7_1_256,1789.8,9,6,0,1,34928,1498384,0,3577856,5111168,28992,692480,567304,3577856,4866632
1_28_7_4_1,1654.6,11,4,0,1,70000,2130960,0,3874816,6075776,28984,993792,1007624,3874816,5905216
1_28_7_4_4,1794.6,12,3,1,2,121200,450576,1421312,4882440,6875528,28992,461064,1421312,3260416,5171784
1_28_7_4_16,1792.4,9,6,0,1,34928,1498384,0,3577856,5111168,28992,692480,567304,3577856,4866632
1_28_7_4_64,1792.3,9,6,0,1,34928,1498384,0,3577856,5111168,28992,692480,567304,3577856,4866632
1_28_7_4_256,1794.6,9,6,0,1,34928,1498384,0,3577856,5111168,28992,692480,567304,3577856,4866632
1_28_7_16_1,1662.3,11,4,0,1,70000,2130960,0,3874816,6075776,28984,993792,1007624,3874816,5905216
1_28_7_16_4,1799.1,12,3,1,2,121200,450576,1421312,4882440,6875528,28992,461064,1421312,3260416,5171784
1_28_7_16_16,1802.5,9,6,0,1,34928,1498384,0,3577856,5111168,28992,692480,567304,3577856,4866632
1_28_7_16_64,1800.5,9,6,0,1,34928,1498384,0,3577856,5111168,28992,692480,567304,3577856,4866632
1_28_7_16_256,1800.5,9,6,0,1,34928,1498384,0,3577856,5111168,28992,692480,567304,3577856,4866632
1_28_7_64_1,1640,11,4,0,1,70000,2130960,0,3874816,6075776,28984,993792,1007624,3874816,5905216
1_28_7_64_4,1793.5,12,3,1,2,121200,450576,1421312,4882440,6875528,28992,461064,1421312,3260416,5171784
1_28_7_64_16,1797.5,9,6,0,1,34928,1498384,0,3577856,5111168,28992,692480,567304,3577856,4866632
1_28_7_64_64,1796.8,9,6,0,1,34928,1498384,0,3577856,5111168,28992,692480,567304,3577856,4866632
1_28_7_64_256,1782.4,9,6,0,1,34928,1498384,0,3577856,5111168,28992,692480,567304,3577856,4866632
1_28_28_1_1,1663.7,11,4,0,1,70000,2507272,0,3874816,6452088,28984,993792,1007624,3874816,5905216
1_28_28_1_4,1789.5,12,4,0,2,121200,2473992,0,4882440,7477632,28992,846080,819200,3260416,4954688
1_28_28_1_16,1800.7,9,4,0,3,34928,435464,0,6146048,6616440,28992,334088,0,4073472,4436552
1_28_28_1_64,1766.7,9,4,0,3,34928,435464,0,6146048,6616440,28992,334088,0,4073472,4436552
1_28_28_1_256,1790.6,9,4,0,3,34928,435464,0,6146048,6616440,28992,334088,0,4073472,4436552
1_28_28_4_1,1652.3,11,4,0,1,70000,2507272,0,3874816,6452088,28984,993792,1007624,3874816,5905216
1_28_28_4_4,1776.8,12,4,0,2,121200,2473992,0,4882440,7477632,28992,846080,819200,3260416,4954688
1_28_28_4_16,1758.6,9,4,0,3,34928,435464,0,6146048,6616440,28992,334088,0,4073472,4436552
1_28_28_4_64,1761.5,9,4,0,3,34928,435464,0,6146048,6616440,28992,334088,0,4073472,4436552
1_28_28_4_256,1772.6,9,4,0,3,34928,435464,0,6146048,6616440,28992,334088,0,4073472,4436552
1_28_28_16_1,1653.8,11,4,0,1,70000,2507272,0,3874816,6452088,28984,993792,1007624,3874816,5905216
1_28_28_16_4,1784.3,12,4,0,2,121200,2473992,0,4882440,7477632,28992,846080,819200,3260416,4954688
1_28_28_16_16,1783.6,9,4,0,3,34928,435464,0,6146048,6616440,28992,334088,0,4073472,4436552
1_28_28_16_64,1778.9,9,4,0,3,34928,435464,0,6146048,6616440,28992,334088,0,4073472,4436552
1_28_28_16_256,1770.5,9,4,0,3,34928,435464,0,6146048,6616440,28992,334088,0,4073472,4436552
1_28_28_64_1,1593.6,11,4,0,1,70000,2507272,0,3874816,6452088,28984,993792,1007624,3874816,5905216
1_28_28_64_4,1782.4,12,4,0,2,121200,2473992,0,4882440,7477632,28992,846080,819200,3260416,4954688
1_28_28_64_16,1789.4,9,4,0,3,34928,435464,0,6146048,6616440,28992,334088,0,4073472,4436552
1_28_28_64_64,1780.8,9,4,0,3,34928,435464,0,6146048,6616440,28992,334088,0,4073472,4436552
1_28_28_64_256,1783,9,4,0,3,34928,435464,0,6146048,6616440,28992,334088,0,4073472,4436552
