ActualRank,PolyRank,GFLOPS,Version
56,71,87.239,0_7_7_1_4
57,35,87.216,1_28_7_4_64
58,69,87.2,0_7_7_4_16
59,118,87.197,1_28_28_16_64
60,90,87.172,1_28_7_64_4
61,36,87.156,1_28_7_1_16
62,117,87.15,1_28_28_16_16
63,75,87.145,1_28_28_4_4
64,64,87.142,0_7_7_16_16
65,116,87.125,1_28_28_1_256
66,125,87.121,0_28_28_1_16
67,113,87.11,1_28_28_1_16
68,37,87.1,1_28_7_16_64
69,129,87.095,0_28_28_64_16
70,61,87.093,0_7_7_4_64
71,38,87.056,1_28_7_16_16
72,133,87.034,0_28_28_4_16
73,58,87.008,0_7_7_4_4
74,39,86.987,1_28_7_1_256
75,132,86.957,0_28_28_16_16
76,135,86.941,0_28_28_1_256
77,41,86.926,0_28_7_1_16
78,62,86.891,0_7_7_1_256
79,114,86.868,1_28_28_4_16
80,111,86.792,1_28_28_64_256
81,40,86.76,1_28_7_16_256
82,156,86.752,0_7_28_4_16
83,138,86.703,0_28_28_1_4
84,155,86.541,0_7_28_4_64
85,154,86.445,0_7_28_16_16
86,153,86.385,0_7_28_64_4
87,158,86.318,0_7_28_1_4
88,152,86.273,0_7_28_4_4
89,150,86.248,0_7_28_64_256
90,147,86.247,0_7_28_4_256
91,146,86.24,0_7_28_16_256
92,145,86.198,0_7_28_1_16
93,143,86.197,0_7_28_16_64
94,144,86.129,0_7_28_1_64
95,148,86.071,0_7_28_64_16
96,149,86.065,0_7_28_1_256
97,151,85.949,0_7_28_16_4
98,164,85.708,4
99,139,85.642,0_28_7_64_1
100,163,85.616,2
101,86,85.484,0_28_28_1_1
102,140,85.41,0_28_7_16_1
103,85,85.376,0_28_28_4_1
104,83,85.366,0_28_28_64_1
105,141,85.316,0_28_7_1_1
106,16,85.274,1_28_28_1_1
107,84,85.218,0_28_28_16_1
108,12,85.203,1_7_28_16_1
109,5,85.2,1_28_7_1_1
110,142,85.182,0_28_7_4_1
111,97,85.145,0_7_28_1_1
112,96,85.138,0_7_28_16_1
113,159,85.088,0_7_7_64_1
114,157,85.086,0_7_28_64_64
115,160,85.085,0_7_7_1_1
116,6,85.068,1_28_7_4_1
117,98,85.066,0_7_28_4_1
118,7,85.048,1_28_7_16_1
119,15,85.032,1_28_28_64_1
120,14,84.926,1_28_28_16_1
121,9,84.925,1_7_28_64_1
122,161,84.92,0_7_7_16_1
123,162,84.895,0_7_7_4_1
124,8,84.891,1_28_7_64_1
125,11,84.888,1_7_28_4_1
126,13,84.877,1_28_28_4_1
127,95,84.219,0_7_28_64_1
128,3,84.208,1_7_7_64_1
129,1,84.023,1_7_7_16_1
130,10,83.832,1_7_28_1_1
131,2,83.789,1_7_7_1_1
132,19,83.688,1_7_7_16_64
133,110,83.68,1_7_28_4_64
134,77,83.637,1_7_28_1_4
135,78,83.607,1_7_28_64_4
136,92,83.586,1_7_7_4_4
137,4,83.576,1_7_7_4_1
138,109,83.572,1_7_28_64_64
139,106,83.57,1_7_28_1_16
140,103,83.565,1_7_28_16_16
141,18,83.543,1_7_7_1_16
142,91,83.536,1_7_7_1_4
143,102,83.464,1_7_28_16_64
144,94,83.463,1_7_7_16_4
145,101,83.454,1_7_28_1_64
146,79,83.444,1_7_28_16_4
147,28,83.428,1_7_7_4_16
148,99,83.396,1_7_28_64_16
149,104,83.393,1_7_28_4_16
150,80,83.379,1_7_28_4_4
152,105,83.347,1_7_28_4_256
151,100,83.347,1_7_28_16_256
153,27,83.33,1_7_7_1_64
154,26,83.327,1_7_7_4_256
155,107,83.292,1_7_28_1_256
156,108,83.274,1_7_28_64_256
157,25,83.269,1_7_7_64_256
158,93,83.182,1_7_7_64_4
159,24,83.18,1_7_7_16_16
160,23,83.174,1_7_7_1_256
161,22,83.142,1_7_7_4_64
162,21,83.092,1_7_7_64_64
163,20,83.059,1_7_7_64_16
164,17,82.837,1_7_7_16_256

