ActualRank, GFlops, Version, wins, PolyRank,
76, 1101.62, 10_1632_36548_1024__512_512_128_64_64_32, 54, 35, 
77, 1095.12, 10_1632_36548_1024__128_512_128_64_64_32, 49, 38, 
78, 1087.65, 10_1632_36548_1024__128_512_32_64_64_32, 46, 39, 
79, 1079.47, 10_1632_36548_1024__512_512_512_32_32_64, 32, 46, 
80, 1077.75, 10_1632_36548_1024__128_512_128_32_64_32, 40, 43, 
81, 1070.82, 10_1632_36548_1024__128_512_32_32_64_32, 38, 44, 
82, 1062.85, 10_1632_36548_1024__128_512_512_64_64_32, 43, 42, 
83, 1059.54, 10_1632_36548_1024__512_32_32_64_32_32, 29, 49, 
84, 1057.78, 10_1632_36548_1024__512_512_512_64_32_32, 30, 48, 
85, 1043.85, 10_1632_36548_1024__128_512_128_64_32_32, 38, 44, 
86, 1036.39, 10_1632_36548_1024__512_512_128_64_32_32, 44, 41, 
87, 1021.1, 10_1632_36548_1024__128_512_512_64_32_32, 25, 52, 
88, 1017.6, 10_1632_36548_1024__128_512_512_32_64_64, 45, 40, 
89, 1014.76, 10_1632_36548_1024__128_512_32_64_32_32, 28, 50, 
90, 1002.68, 10_1632_36548_1024__128_512_512_32_32_64, 25, 52, 
91, 994.72, 10_1632_36548_1024__128_512_128_32_32_32, 40, 43, 
92, 994.32, 10_1632_36548_1024__128_512_512_32_64_32, 29, 49, 
93, 989.24, 10_1632_36548_1024__512_32_32_32_32_32, 70, 22, 
94, 968.85, 10_1632_36548_1024__512_512_512_32_32_32, 32, 46, 
95, 967.33, 10_1632_36548_1024__128_512_32_32_32_32, 37, 45, 
96, 934.1, 10_1632_36548_1024__32_128_512_32_32_64, 10, 59, 
97, 933.82, 10_1632_36548_1024__128_512_512_32_32_32, 25, 52, 
98, 931.53, 10_1632_36548_1024__32_128_128_32_32_64, 10, 59, 
99, 930.84, 10_1632_36548_1024__32_32_128_32_32_64, 15, 57, 
100, 927.96, 10_1632_36548_1024__512_512_32_32_64_32, 26, 51, 
101, 922.43, 10_1632_36548_1024__32_32_512_32_32_64, 15, 57, 
102, 916.32, 10_1632_36548_1024__512_512_32_64_64_32, 31, 47, 
103, 914.49, 10_1632_36548_1024__32_128_512_32_64_32, 10, 59, 
104, 911.14, 10_1632_36548_1024__32_128_128_32_64_64, 23, 53, 
105, 911.11, 10_1632_36548_1024__32_128_512_32_64_64, 19, 55, 
106, 890.34, 10_1632_36548_1024__32_128_128_32_64_32, 10, 59, 
107, 889.6, 10_1632_36548_1024__512_512_32_32_32_32, 26, 51, 
108, 886.23, 10_1632_36548_1024__32_32_128_32_32_32, 16, 56, 
109, 883.25, 10_1632_36548_1024__32_32_32_32_32_32, 16, 56, 
110, 881.86, 10_1632_36548_1024__32_32_512_32_32_32, 16, 56, 
111, 873.12, 10_1632_36548_1024__512_512_32_64_32_32, 20, 54, 
112, 861.27, 10_1632_36548_1024__32_128_32_32_64_32, 10, 59, 
113, 860.52, 10_1632_36548_1024__32_128_512_32_32_32, 10, 59, 
114, 856.07, 10_1632_36548_1024__32_512_512_32_64_64, 8, 60, 
115, 848.42, 10_1632_36548_1024__32_512_128_32_64_64, 13, 58, 
116, 846.29, 10_1632_36548_1024__32_128_128_32_32_32, 10, 59, 
117, 836.14, 10_1632_36548_1024__32_512_128_32_32_64, 5, 61, 
118, 834.26, 10_1632_36548_1024__32_512_512_32_64_32, 4, 62, 
119, 825.89, 10_1632_36548_1024__32_512_512_32_32_64, 0, 63, 
120, 815.15, 10_1632_36548_1024__32_128_32_32_32_32, 10, 59, 
121, 812.73, 10_1632_36548_1024__32_512_128_32_64_32, 5, 61, 
122, 797.89, 10_1632_36548_1024__32_512_32_32_64_32, 0, 63, 
123, 785.57, 10_1632_36548_1024__32_512_512_32_32_32, 0, 63, 
124, 782.45, 10_1632_36548_1024__32_512_32_32_32_32, 0, 63, 
125, 780.95, 10_1632_36548_1024__32_512_128_32_32_32, 5, 61, 
