0_7_7_1_1,1667.3,7,4,1,2,74024,492048,1421312,4882440
0_7_7_1_4,1737.7,7,6,0,1,74024,1509912,0,3577856
0_7_7_1_16,1745.1,7,6,0,1,74024,1509912,0,3577856
0_7_7_1_64,1757.3,7,6,0,1,74024,1509912,0,3577856
0_7_7_1_256,1773.7,7,6,0,1,74024,1509912,0,3577856
0_7_7_4_1,1672,7,4,1,2,74024,492048,1421312,4882440
0_7_7_4_4,1764.3,7,6,0,1,74024,1509912,0,3577856
0_7_7_4_16,1743.3,7,6,0,1,74024,1509912,0,3577856
0_7_7_4_64,1769.1,7,6,0,1,74024,1509912,0,3577856
0_7_7_4_256,1762.8,7,6,0,1,74024,1509912,0,3577856
0_7_7_16_1,1655.7,7,4,1,2,74024,492048,1421312,4882440
0_7_7_16_4,1743.2,7,6,0,1,74024,1509912,0,3577856
0_7_7_16_16,1757.6,7,6,0,1,74024,1509912,0,3577856
0_7_7_16_64,1745.1,7,6,0,1,74024,1509912,0,3577856
0_7_7_16_256,1733.9,7,6,0,1,74024,1509912,0,3577856
0_7_7_64_1,1671.1,7,4,1,2,74024,492048,1421312,4882440
0_7_7_64_4,1757.8,7,6,0,1,74024,1509912,0,3577856
0_7_7_64_16,1759.8,7,6,0,1,74024,1509912,0,3577856
0_7_7_64_64,1737.2,7,6,0,1,74024,1509912,0,3577856
0_7_7_64_256,1773.7,7,6,0,1,74024,1509912,0,3577856
0_7_28_1_1,1676.8,7,5,0,2,74024,2515464,0,4882440
0_7_28_1_4,1749.4,7,4,0,3,74024,1696272,0,5799936
0_7_28_1_16,1769.7,7,4,0,3,74024,1696272,0,5799936
0_7_28_1_64,1749.1,7,4,0,3,74024,1696272,0,5799936
0_7_28_1_256,1812.8,7,4,0,3,74024,1696272,0,5799936
0_7_28_4_1,1660.6,7,5,0,2,74024,2515464,0,4882440
0_7_28_4_4,1775.4,7,4,0,3,74024,1696272,0,5799936
0_7_28_4_16,1760.4,7,4,0,3,74024,1696272,0,5799936
0_7_28_4_64,1740.2,7,4,0,3,74024,1696272,0,5799936
0_7_28_4_256,1784.9,7,4,0,3,74024,1696272,0,5799936
0_7_28_16_1,1642.8,7,5,0,2,74024,2515464,0,4882440
0_7_28_16_4,1726,7,4,0,3,74024,1696272,0,5799936
0_7_28_16_16,1736.7,7,4,0,3,74024,1696272,0,5799936
0_7_28_16_64,1749,7,4,0,3,74024,1696272,0,5799936
0_7_28_16_256,1762.2,7,4,0,3,74024,1696272,0,5799936
0_7_28_64_1,1643.3,7,5,0,2,74024,2515464,0,4882440
0_7_28_64_4,1785.5,7,4,0,3,74024,1696272,0,5799936
0_7_28_64_16,1795.2,7,4,0,3,74024,1696272,0,5799936
0_7_28_64_64,1778.5,7,4,0,3,74024,1696272,0,5799936
0_7_28_64_256,1752.7,7,4,0,3,74024,1696272,0,5799936
0_28_7_1_1,1724.8,8,3,1,2,126240,450576,1421312,4882440
0_28_7_1_4,1789.4,8,5,0,1,126240,1468440,0,3577856
0_28_7_1_16,1785.5,8,5,0,1,126240,1468440,0,3577856
0_28_7_1_64,1801.1,8,5,0,1,126240,1468440,0,3577856
0_28_7_1_256,1778.4,8,5,0,1,126240,1468440,0,3577856
0_28_7_4_1,1695.1,8,3,1,2,126240,450576,1421312,4882440
0_28_7_4_4,1805,8,5,0,1,126240,1468440,0,3577856
0_28_7_4_16,1812.6,8,5,0,1,126240,1468440,0,3577856
0_28_7_4_64,1811.4,8,5,0,1,126240,1468440,0,3577856
0_28_7_4_256,1807.4,8,5,0,1,126240,1468440,0,3577856
0_28_7_16_1,1724.4,8,3,1,2,126240,450576,1421312,4882440
0_28_7_16_4,1765.2,8,5,0,1,126240,1468440,0,3577856
0_28_7_16_16,1739,8,5,0,1,126240,1468440,0,3577856
0_28_7_16_64,1783.9,8,5,0,1,126240,1468440,0,3577856
0_28_7_16_256,1748.2,8,5,0,1,126240,1468440,0,3577856
0_28_7_64_1,1706,8,3,1,2,126240,450576,1421312,4882440
0_28_7_64_4,1717.8,8,5,0,1,126240,1468440,0,3577856
0_28_7_64_16,1794.2,8,5,0,1,126240,1468440,0,3577856
0_28_7_64_64,1767.1,8,5,0,1,126240,1468440,0,3577856
0_28_7_64_256,1801,8,5,0,1,126240,1468440,0,3577856
0_28_28_1_1,1619.4,8,4,0,2,126240,2473992,0,4882440
0_28_28_1_4,1804.5,8,3,0,3,126240,1654800,0,5799936
0_28_28_1_16,1765.3,8,3,0,3,126240,1654800,0,5799936
0_28_28_1_64,1830.1,8,3,0,3,126240,1654800,0,5799936
0_28_28_1_256,1791.6,8,3,0,3,126240,1654800,0,5799936
0_28_28_4_1,1663,8,4,0,2,126240,2473992,0,4882440
0_28_28_4_4,1774.7,8,3,0,3,126240,1654800,0,5799936
0_28_28_4_16,1791,8,3,0,3,126240,1654800,0,5799936
0_28_28_4_64,1796.8,8,3,0,3,126240,1654800,0,5799936
0_28_28_4_256,1812.9,8,3,0,3,126240,1654800,0,5799936
0_28_28_16_1,1710,8,4,0,2,126240,2473992,0,4882440
0_28_28_16_4,1839.8,8,3,0,3,126240,1654800,0,5799936
0_28_28_16_16,1817.5,8,3,0,3,126240,1654800,0,5799936
0_28_28_16_64,1846.9,8,3,0,3,126240,1654800,0,5799936
0_28_28_16_256,1806.5,8,3,0,3,126240,1654800,0,5799936
0_28_28_64_1,1717.1,8,4,0,2,126240,2473992,0,4882440
0_28_28_64_4,1799.5,8,3,0,3,126240,1654800,0,5799936
0_28_28_64_16,1841.5,8,3,0,3,126240,1654800,0,5799936
0_28_28_64_64,1836.5,8,3,0,3,126240,1654800,0,5799936
0_28_28_64_256,1805.8,8,3,0,3,126240,1654800,0,5799936
