1_28_7_16_64,1032.4,9,6,0,1,34928,1498384,0,3577856
1_28_7_16_256,1024.7,9,6,0,1,34928,1498384,0,3577856
1_28_7_64_1,835.45,11,4,0,1,70000,2130960,0,3874816
1_28_7_64_4,1635.5,12,3,1,2,121200,450576,1421312,4882440
1_28_7_64_16,1063.5,9,6,0,1,34928,1498384,0,3577856
1_28_7_64_64,1053.4,9,6,0,1,34928,1498384,0,3577856
1_28_7_64_256,1003.4,9,6,0,1,34928,1498384,0,3577856
1_28_28_1_1,867.17,11,4,0,1,70000,2507272,0,3874816
1_28_28_1_4,965.98,12,4,0,2,121200,2473992,0,4882440
1_28_28_1_16,1033.4,9,4,0,3,34928,435464,0,6146048
1_28_28_1_64,1614.4,9,4,0,3,34928,435464,0,6146048
1_28_28_1_256,1654.6,9,4,0,3,34928,435464,0,6146048
1_28_28_4_1,838.31,11,4,0,1,70000,2507272,0,3874816
1_28_28_4_4,1051.8,12,4,0,2,121200,2473992,0,4882440
1_28_28_4_16,996.49,9,4,0,3,34928,435464,0,6146048
1_28_28_4_64,1650,9,4,0,3,34928,435464,0,6146048
1_28_28_4_256,1030.9,9,4,0,3,34928,435464,0,6146048
1_28_28_16_1,824.21,11,4,0,1,70000,2507272,0,3874816
1_28_28_16_4,930.7,12,4,0,2,121200,2473992,0,4882440
1_28_28_16_16,1624.3,9,4,0,3,34928,435464,0,6146048
1_28_28_16_64,1049.1,9,4,0,3,34928,435464,0,6146048
1_28_28_16_256,1001.5,9,4,0,3,34928,435464,0,6146048
1_28_28_64_1,835.61,11,4,0,1,70000,2507272,0,3874816
1_28_28_64_4,1054,12,4,0,2,121200,2473992,0,4882440
1_28_28_64_16,981.91,9,4,0,3,34928,435464,0,6146048
1_28_28_64_64,1055,9,4,0,3,34928,435464,0,6146048
1_28_28_64_256,976.85,9,4,0,3,34928,435464,0,6146048
0_7_7_1_1,1494.1,7,4,1,2,74024,492048,1421312,4882440
0_7_7_1_4,1020.4,7,6,0,1,74024,1509912,0,3577856
0_7_7_1_16,1578.1,7,6,0,1,74024,1509912,0,3577856
